feature,c1,c2,c3,c4,c5,total_SHAP,week_number,ranking,c1_ranking,c5_ranking,feature_index,color
Stringency Index,0.022529847119499003,0.012110930110107207,0.011346662488676293,0.010973331805892975,0.015813912280820477,0.07277468380499595,4,4,4,5,F21,#9467bd
Google Search Insights,0.014315796752583362,0.010788927208806748,0.012343417577670759,0.011244349808705945,0.009684827285246583,0.058377318633013396,4,7,7,11,F20,#8c564b
Political Affiliation,0.007220400510859195,0.007265973463852921,0.00728508044054548,0.005325346101373728,0.005945912927706683,0.033042713444338005,4,19,19,20,F9,#1f77b4
Stringency Index,0.018449257885847007,0.012412194136589626,0.00944212324030241,0.01117681836317854,0.01616739758860359,0.06764779121452118,5,6,5,4,F21,#9467bd
Google Search Insights,0.009846294438395324,0.007283372380231482,0.008915766023659934,0.008465514439004845,0.008172866576855758,0.042683813858147346,5,13,13,13,F20,#8c564b
Political Affiliation,0.006605588908855906,0.00804207040089711,0.008120446838217455,0.006072903143325419,0.009227047651502741,0.038068056942798634,5,17,19,12,F9,#1f77b4
Stringency Index,0.015626811615362727,0.0161106965045042,0.012763543532213104,0.01293213498799812,0.02591508072696087,0.08334826736703901,6,3,8,2,F21,#9467bd
Google Search Insights,0.020877142644220532,0.00989205722254366,0.009700054510984515,0.011574146983658239,0.011835542069574094,0.06387894343098104,6,6,4,8,F20,#8c564b
Political Affiliation,0.010148321636833673,0.007502564810186032,0.008334530793661487,0.007016718529875066,0.013258877955278477,0.046261013725834736,6,13,13,6,F9,#1f77b4
Stringency Index,0.01387775326065827,0.01176342412601673,0.011866975336364018,0.011610833968375119,0.014846936595837464,0.0639659232872516,7,6,9,7,F21,#9467bd
Political Affiliation,0.00904816196838784,0.007008143931921758,0.006020236068904701,0.005620167355966849,0.009194569726749242,0.03689127905193039,7,19,16,14,F9,#1f77b4
Google Search Insights,0.0064267087343050375,0.005617062539225029,0.005767306726542306,0.006600493658455785,0.006768964991240386,0.031180536649768546,7,23,25,22,F20,#8c564b
Political Affiliation,0.033205573018371855,0.014225901127839273,0.014013223868303356,0.013262778767907064,0.027129464303508103,0.10183694108592965,8,1,1,1,F9,#1f77b4
Stringency Index,0.015936926512393097,0.01252712107623844,0.01120616583531225,0.010226738843697857,0.02382270950097644,0.07371966176861809,8,5,6,2,F21,#9467bd
Google Search Insights,0.009197462240684596,0.007059490093758516,0.006052288018146669,0.00678436510769403,0.006584811892688832,0.03567841735297264,8,20,20,22,F20,#8c564b
Stringency Index,0.017251729880197967,0.014994248430781981,0.016249565825169034,0.02087392052942851,0.019880525569051954,0.08924999023462944,9,5,5,5,F21,#9467bd
Political Affiliation,0.01758355690461669,0.013951992586434162,0.010543493056142113,0.011174642945058835,0.029700135330927916,0.08295382082317972,9,6,4,3,F9,#1f77b4
Google Search Insights,0.012290392201618237,0.006382167548431821,0.0061634411604514355,0.00667774453450232,0.006346395858199765,0.03786014130320358,9,17,12,19,F20,#8c564b
