week_number,VHb_mean,us_sni_covid19_vaccination,w_month_year
4,0.9842580528387009,61.072,"W-4
Jan 2021"
5,0.9742291640237278,56.989,"W-5
Feb 2021"
6,0.9598834186308925,66.057,"W-6
Feb 2021"
7,0.9529883553210611,62.342,"W-7
Feb 2021"
8,0.9415930100499142,70.689,"W-8
Feb 2021"
9,0.9324458052687348,87.899,"W-9
Mar 2021"
10,0.9234099413007117,100.0,"W-10
Mar 2021"
11,0.917849191692169,93.347,"W-11
Mar 2021"
12,0.9161950788317801,93.006,"W-12
Mar 2021"
13,0.9057199284296257,99.096,"W-13
Mar 2021"
14,0.8973161934522728,95.537,"W-14
Apr 2021"
15,0.8861452015820114,72.037,"W-15
Apr 2021"
16,0.8802229377883061,55.185,"W-16
Apr 2021"
17,0.8810362866726382,62.795,"W-17
Apr 2021"
18,0.888276612848804,44.188,"W-18
May 2021"
19,0.9027484797258013,51.568,"W-19
May 2021"
20,0.9163805567391788,42.864,"W-20
May 2021"
21,0.9288708341897274,34.189,"W-21
May 2021"
22,0.9398375981098936,29.344,"W-22
May 2021"
23,0.9459765212510801,28.595,"W-23
Jun 2021"
24,0.9497876446148636,26.997,"W-24
Jun 2021"
25,0.9527868832031732,26.537,"W-25
Jun 2021"
26,0.9547820812049757,24.148,"W-26
Jun 2021"
27,0.9629011262068644,26.058,"W-27
Jul 2021"
28,0.9694164153153362,28.078,"W-28
Jul 2021"
29,0.973177429294528,37.589,"W-29
Jul 2021"
30,0.9756957234692032,47.477,"W-30
Jul 2021"
31,0.97481585484081,69.349,"W-31
Aug 2021"
32,0.9716125454443117,55.89,"W-32
Aug 2021"
33,0.9680218047438126,54.604,"W-33
Aug 2021"
34,0.9623293663566129,55.674,"W-34
Aug 2021"
35,0.9595136083628613,56.307,"W-35
Aug 2021"
36,0.9561400839650882,41.003,"W-36
Sep 2021"
37,0.9533766566826276,37.21,"W-37
Sep 2021"
38,0.9502660242568216,33.753,"W-38
Sep 2021"
39,0.9529516946388297,35.467,"W-39
Sep 2021"
40,0.9539509766567246,30.802,"W-40
Oct 2021"
41,0.9624965377520569,29.877,"W-41
Oct 2021"
42,0.9657816775802668,33.423,"W-42
Oct 2021"
43,0.9671437562782497,34.263,"W-43
Oct 2021"
